headline,url,summary
"UK town sees nearly 200 homes evacuated over potential explosives threat, 2 men arrested",https://www.foxnews.com/world/uk-town-sees-nearly-200-homes-evacuated-over-potential-explosives-threat-2-men-arrested,"A major incident was declared in Derby, England, after police executed a warrant on Vulcan Street and arrested two men on suspicion of explosive offenses."
Former Biden advisor questions internal 'incentive' for Congress to reopen government,https://www.foxnews.com/video/6384484063112,'Special Report' panelists discuss how Americans are feeling the impacts of the government shutdown and the legality of President Donald Trump's tariffs.
TREY GOWDY: China is misjudging Trump on trade. It may soon be very surprised,https://www.foxnews.com/opinion/trey-gowdy-china-misjudging-trump-trade-may-soon-surprised,President Donald Trump threatens 100% tariffs on Chinese imports after China threatens U.S. rare earth mineral access as meeting with Xi Jinping is off.
Former DHS advisor says IL leadership's refusal to accept help from Trump admin is out of 'hatred of the President',https://www.foxnews.com/video/6382658981112,Former Homeland Security advisor Chuck Marino discusses Illinois leadership's consistent refusal to receive help from the Trump administration to crack down on crime on 'Fox Report.'
"These random attacks have nothing to do with oversight, deputy attorney general says",https://www.foxnews.com/video/6382234252112,Deputy Attorney General Todd Blanche discusses Attorney General Pam Bondi's interaction with Democratic senators on Capitol Hill and efforts to stop crime on 'Hannity.'
Ford CEO highlights importance of youth learning trades,https://www.foxnews.com/video/6382066701112,Graham Industries owner Matt Graham joins 'Fox & Friends Weekend' to discuss the importance of American youth learning and entering careers in trades and the benefits of working with his son.
911 audio of Iryna Zarutska attack released,https://www.foxnews.com/video/6380645062112,WARNING: Graphic content — Fox News correspondent Christina Coleman reports on newly released 911 calls made after Ukrainian refugee Iryna Zarutska was stabbed on a Charlotte light rail train on 'Jesse Watters Primetime.'
Former FBI investigator sounds alarm about threat of political violence after Michigan church attack,https://www.foxnews.com/video/6380293132112,Former FBI investigator Bill Daly discusses the threat of political violence in America after a deadly Michigan church attack on ‘The Will Cain Show.’
DOJ defends indictment of former FBI Director James Comey,https://www.foxnews.com/video/6380156855112,Deputy Attorney General Todd Blanche joins ‘America Reports’ to discuss the indictment of former FBI Director James Comey.
Unprovoked broad daylight Seattle stabbing caught on video,https://www.foxnews.com/video/6379983123112,Seattle police arrested a suspect who allegedly tried to flee responding officers near the scene and has a rap sheet going back decades. (Credit: Seattle Police Department)
"This is an 'embarrassing moment' for Britain, says UK journalist",https://www.foxnews.com/video/6379731931112,British journalist and Royal expert Jonathan Sacerdoti joins 'Fox & Friends' to discuss President Donald Trump's negotiations with United Kingdom Prime Minister Keir Starmer.
"Republicans will continue winning but only if they solve crime in their own states, attorney argues",https://www.foxnews.com/video/6379506019112,"Panelists Mehek Cooke and Julian Epstein weigh in on President Donald Trump extending his crime crackdown to Memphis, Tennessee, on 'Fox News @ Night.'"
"Police presence among 'best crime deterrents,' Vermont law enforcement officer says",https://www.foxnews.com/video/6378557553112,"Vermont law enforcement officer Jimmy Baldea spoke with Fox News Digital about the crime rates in Vermont, and said that a police presence is one of ""the best crime deterrents."""
Vivek Ramaswamy worried about Gen Z's relationship to free speech,https://www.foxnews.com/video/6379284501112,Ohio GOP gubernatorial candidate Vivek Ramaswamy remembers Turning Point USA founder Charlie Kirk on ‘The Ingraham Angle.’
Video appears to show person of interest in Charlie Kirk assassination,https://www.foxnews.com/video/6379188898112,"A video appears to show a person of interest in the Charlie Kirk assassination walking near Utah Valley University before the shooting on Sept. 10, 2025. (Credit: TMZ)"
Charlie Kirk remembered as 'one of the great patriots' of the century,https://www.foxnews.com/video/6379114065112,Fox News contributor Joe Concha reflects on Charlie Kirk's impact on the conservative movement.
"Charlie Kirk's message was one of love, Jesus Christ and prayer, says Jason Chaffetz",https://www.foxnews.com/video/6379063964112,Fox News contributor Jason Chaffetz reflects on Charlie Kirk’s life and legacy on 'The Will Cain Show.'
Media accused of 'politicizing' brutal slaying of Ukrainian refugee,https://www.foxnews.com/video/6378928577112,'Outnumbered' panelists weigh in after liberal media outlets claimed the video showing the murder of Ukrainian refugee Iryna Zarutska added fuel to President Donald Trump's crackdown on crime.
Democrats outraged over Trump's possible crime crackdown in Chicago,https://www.foxnews.com/video/6378807965112,'The Will Cain Show' host Will Cain joins 'America's Newsroom' to discuss Democrats' defiance to federal help in Chicago as residents in the Windy City battle rampant violence.
Florida sheriff says 14-year-old girl would have not been sexually assaulted if illegal immigrant was stopped at the border,https://www.foxnews.com/video/6378544735112,The Pasco Sheriff's Office announced the arrest of a 53-year-old illegal immigrant who allegedly had forced sex with a 14-year-old girl. (Credit: Pasco Sheriff's Office)
Video shows 'missing minute' from previous Epstein jail camera release,https://www.foxnews.com/video/6378228385112,"Video shows a minute that was missing during a previous release of surveillance camera video files in Jeffrey Epstein's jail area in the Metropolitan Correctional Center. That minute lasted from 11:58:59 to midnight on August 10, 2019."
Rep. Malliotakis calls for ‘bipartisan’ work in Congress to avoid government shutdown,https://www.foxnews.com/video/6377937855112,"Rep. Nicole Malliotakis, R-N.Y., discusses President Donald Trump’s crime crackdown in Washington, D.C., and reveals how Congress can avoid a government shutdown on ‘Fox News Live.’"
Trump calls on GOP to push ‘comprehensive’ crime bill,https://www.foxnews.com/video/6377674583112,"Rep. Brian Fitzpatrick, R-Pa., joins ‘Fox & Friends’ to respond to President Donald Trump’s call for lawmakers to craft a bill aimed at curbing crime across the country."
"Union Station takeover is 'long overdue,' Byron Donalds says",https://www.foxnews.com/video/6377544741112,"Florida gubernatorial candidate Rep. Byron Donalds, R-Fla., weighs in on the Trump administration's takeover of Union Station and the Minnesota Catholic school shooting on 'The Ingraham Angle.'"
Crime-ridden blue cities struggle to combat shrinking police forces as feds step in to clean up chaos,https://www.foxnews.com/video/6377455751112,"Blue cities that lost historic numbers of police officers beginning in 2020 have yet to recover due to far-left, anti-police policies, a top leader of the National Fraternal Order of Police (FOP) says."
Petition supporting illegal migrant trucker reaches 2.6 million signatures,https://www.foxnews.com/video/6377355429112,Former Acting DHS Secretary Chad Wolf reacts to a petition calling for leniency for an illegal migrant accused of killing three people on 'Fox & Friends.'
"Trump picks Chicago as next U.S. city to clean up, lower crime",https://www.foxnews.com/video/6377254560112,"President Donald Trump speaks from the Oval Office, touting his Washington, D.C., crime crackdown and naming Chicago as the next city he plans to clean up."
"'Maniacs': Protesters scream at Vance, Hesgesth in DC",https://www.foxnews.com/video/6377186566112,"'Fox & Friends' co-hosts react to Vice President Vance and Sec. Hegseth's confrontation with protesters in Washington, D.C. during a visit with National Guard."
Honor procession for Utah policemen killed in the line of duty,https://www.foxnews.com/video/6377039300112,A procession of honor for two Tremonton Police Officers who were killed overnight arrives at the Office of the Medical Examiner in Salt Lake City. (Obtained by Fox News Digital)
National Guard troops stand guard outside DC's Union Station as their presence ramps up in nation's capital,https://www.foxnews.com/video/6376937173112,National Guard troops gather outside D.C.’s Union Station as the Trump administration boosts its presence in the nation’s capital to curb crime. (Alec Schemmel/Fox News Digital)
John Yoo urges DC mayor to ‘look at the Constitution’,https://www.foxnews.com/video/6376887942112,Former Deputy Assistant Attorney General John Yoo discusses President Donald Trump’s federal takeover of D.C. police and more on ‘The Story.’
Trump goes out of the way to protect reporters who call him a 'dictator': Kilmeade,https://www.foxnews.com/video/6376812199112,"Fox News' Brian Kilmeade discusses President Donald Trump's redecorating prowess in the White House, his moves to clean up crime in Washington, D.C. and the reaction from Democrats on 'Jesse Watters Primetime.'"
Trump administration demands Colorado turn over alleged Tren de Aragua killer,https://www.foxnews.com/video/6376702201112,'Outnumbered' discusses Colorado's illegal immigration problem after a Tren de Aragua gang member allegedly shot multiple victims during a domestic dispute.
NYC gunman seen inside Vegas apartment in 2024 after mother called 911,https://www.foxnews.com/video/6376617376112,"Las Vegas police responded to New York City gunman Shane Tamura Aug. 10, 2024, inside his Nevada apartment, after his mother called 911 to report self-harm threats. (Las Vegas Police Department)"
"Tennessee quadruple murder victims 'trusted' suspect Austin Drummond, relative says",https://www.foxnews.com/video/6376489019112,Fox News' Madison Scarpino provides details on the charges facing quadruple murder suspect Austin Drummond as the manhunt continues.
The trade deal countdown is on,https://www.foxnews.com/video/6376413552112,Fox News national correspondent Griff Jenkins reports on the upcoming trade deal deadlines and the 'Pelosi Act' on 'Special Report.'
Jimmy Hoffa’s family to President Trump: Release the Hoffa FBI files,https://www.foxnews.com/video/6376330929112,Eric Shawn’s exclusive Fox Nation interview with Hoffa’s son James P. Hoffa. He reveals who he thinks was behind the murder.
LIZ PEEK: Trump's major trade wins could be rocket fuel to US economy,https://www.foxnews.com/opinion/liz-peek-trumps-major-trade-wins-could-rocket-fuel-us-economy,"Despite criticism from economists, it's clear that Trump's trade policies challenge conventional wisdom as tariff revenues flow into the Treasury and companies consider US production."
Sec. Lutnick touts Trump's 'fantastic' tariff plan as Aug. 1 deadline approaches,https://www.foxnews.com/video/6376201369112,"Commerce Secretary Howard Lutnick joins 'Fox News Sunday' to weigh in on President Donald Trump's tariff plan, a potential EU deal and requirements for TikTok to remain in the U.S. through American ownership."
Investigators reveal they did not find a motive in Bryan Kohberger's killings,https://www.foxnews.com/video/6376031390112,"Investigators tell Fox News Digital they did not uncover a motive for Bryan Kohberger's brutal slayings of four University of Idaho students following his sentencing hearing in Boise, Idaho on July 23, 2025."
"Sanctuary city politicians have 'blood on their hands,' says DHS official",https://www.foxnews.com/video/6375967328112,Assistant DHS Sec. Tricia McLaughlin criticizes sanctuary city policies after Megan Bos's body was discovered in a storage container at an illegal immigrant's home in Illinois and two migrants attacked a CBP officer in New York City.
Trump admin pushes back on criticism over handling of Epstein Files,https://www.foxnews.com/video/6375768441112,White House Press Secretary Karoline Leavitt dismissed questions about transparency in the Jeffrey Epstein case.
Trump 'insulated' himself from criticism over new deal with NATO by labeling it a 'sale' of US weapons,https://www.foxnews.com/video/6375655739112,Fox News senior White House correspondent Jacqui Heinrich reports on the new deal President Donald Trump worked out with NATO that would provide equipment assistance to Ukraine on 'Special Report.'
"Abrego Garcia's possible deportation would save money for taxpayers and justice system, attorney says",https://www.foxnews.com/video/6375483650112,Fox News contributor Donna Rotunno joins 'Fox & Friends First' to discuss the latest on the Abrego Garcia case and why she is not surprised about the verdict in the prep school lacrosse player murder case.
Farmer calls Trump’s lifting of H-2 visa program restrictions ‘another win’,https://www.foxnews.com/video/6375275871112,Fourth generation farmer Andrew Leimgruber discusses President Donald Trump’s new tariff and trade policies that seek to help American farmers on ‘Fox & Friends Weekend.’
Ted Williams wants answers as part of any plea deal for Bryan Kohberger,https://www.foxnews.com/video/6375070041112,"Any plea deal for Bryan Kohberger should force the suspected quadruple murderer to explain the how and why, says Ted Williams, a former DC homicide detective and Fox News contributor."
'The Five': Tehran threatens to close key trade route,https://www.foxnews.com/video/6374768724112,'The Five' discusses Tehran threatening to shut down the Strait of Hormuz as the world awaits more of its retaliation.
Disturbing video shows suspected TdA gang members brandish guns at Colorado apartment complex,https://www.foxnews.com/video/6374496747112,"Doorbell footage shows suspected Tren de Aragua gang members carrying guns and knocking on a door inside a Colorado apartment complex on June 9, Aurora Police Chief Todd Chamberlain said during a press conference Tuesday. (Credit: Aurora Police)"
"California Gov. Newsom was not 'proactive' in preventing riots, former LA County sheriff's deputy says",https://www.foxnews.com/video/6374261206112,"Los Angeles County GOP vice chair and former sheriff's deputy Patrick Gipson issued a scathing rebuke of state and local leadership, accusing officials of negligence amid the protests in the city."
"Federal, local officials share arrest details for suspects accused of throwing Molotov cocktails at officers during LA riots",https://www.foxnews.com/video/6374139252112,"Officials with the U.S. Attorney's Office, ATF and LAPD on Wednesday afternoon shared more information about two suspects accused of throwing Molotov cocktails at police officers during Los Angeles riots over the weekend."
Alleged MS-13 member Abrego Garcia faces smuggling charges after return to US,https://www.foxnews.com/video/6374053869112,"Fox News' Madison Scarpino provides details on the charges against alleged MS-13 member Kilmar Abrego Garcia. Fox News legal editor Kerri Urbahn weighs in after Sen. Chris Van Hollen, D-Md., declared his return to the U.S. a 'victory.'"
"‘The Five’: Dems, liberal media have some 'big questions to answer' after Kilmar Abrego Garcia charged",https://www.foxnews.com/video/6373964505112,‘The Five’ co-hosts unpack the Justice Department announcing charges against Salvadoran national Kilmar Abrego Garcia.
FBI warns Chinese ‘agroterrorism’ threat could target US food supply,https://www.foxnews.com/video/6373871919112,The ‘Outnumbered’ panel weighs in after Chinese nationals were charged with smuggling a dangerous biological pathogen into the United States.
Karen Read challenges officer’s testimony in tense murder trial,https://www.foxnews.com/video/6373798701112,"Karen Read criticizes Boston Police Officer Kelly Dever's testimony in her murder trial, alleging dishonesty and denying threats from the defense team. (Richard Beetham for Fox News Digital)"
Six illegal immigrants charged in South Carolina mother's murder that 'shocks the conscience': former SC attorney general,https://www.foxnews.com/video/6373541572112,Former South Carolina Attorney General Charlie Condon says six illegal immigrants charged in the random murder of a local mother 'shocks the conscience.'
Crash expert defends 'blue paint' experiment in Karen Read trial,https://www.foxnews.com/video/6373580533112,Dr. Judson Welcher testified on cross-examination that his experiment using a Lexus SUV and blue paint to depict Karen Read's alleged collision with John O'Keefe was reputable after attorney Robert Alessi looked to poke holes in the claims. (Pool)
"Italian tourist allegedly kidnapped, tortured for crypto in NYC",https://www.foxnews.com/video/6373428943112,Fox News’ Chanley Painter reports on a crypto investor arrested in connection with an Italian tourist who claims he was kidnapped and tortured for weeks in a New York City apartment before escaping.
'Worst fears coming true': American Jewish Community CEO reacts to fatal Israeli shooting,https://www.foxnews.com/video/6373222267112,American Jewish Community CEO Ted Deutch joins 'Fox & Friends' to discuss the fatal shooting for two Israeli diplomats outside of a Jewish museum in Washington D.C.
'Tiptoe lightly': Tulsa County sheriff sends warning to escaped NOLA inmates,https://www.foxnews.com/video/6373107063112,Tulsa County Sheriff Vic Regalado discusses the manhunt for escaped New Orleans inmates on 'Fox & Friends'
Gap in reporting time for escaped New Orleans inmates is ‘extremely concerning’: Louisiana attorney general,https://www.foxnews.com/video/6372927059112,Louisiana Attorney General Liz Murrill discusses the ongoing manhunt for escaped inmates from a New Orleans prison on ‘The Story.’
'Bodega brothel' across from school in AOC's 'Red Light' district shut down,https://www.foxnews.com/video/6372807057112,A well-known local brothel near a school in Rep. Alexandria Ocasio-Cortez's 'Red Light' district in Queens has been shut down
Trump warns trade talks with EU will be tough after reaching deal with China,https://www.foxnews.com/video/6372708593112,The 'Outnumbered' panel discusses the latest on the Trump administration's trade deal with China as the president warns negotiations with the European Union will be 'nastier.'
Tough-on-crime DA uses lessons learned from mass shooting cases to protect public,https://www.foxnews.com/video/6372548815112,Republican District Attorney George Brauchler says his experience from covering mass shooting cases as a prosecutor makes him the right guy for this role in Colorado.
Prosecution plays Karen Read's voicemails to John O'Keefe during trial,https://www.foxnews.com/video/6372432293112,"Prosecutor Hank Brennan plays Karen Read's voicemails to John O'Keefe from the morning of his death during her murder trial on Tuesday, May 6, 2025. (Pool)"
"China open to talks with Trump admin on lowering tariffs, ministry says",https://www.foxnews.com/world/china-open-talks-trump-admin-lowering-tariffs-ministry-says,"China said on Friday that it was ""evaluating"" a U.S. offer to hold talks on tariffs, signaling a possible shift in the trade war between the world's two largest economies."
CT police make arrest after woman found dismembered in suitcase,https://www.foxnews.com/video/6372080428112,"Police in Groton, Connecticut, had arrested Donald Coffel after a woman was found dismembered in a suitcase last month."
Trump kicks off whirlwind week marking his 100th day back in the Oval Office,https://www.foxnews.com/politics/trump-kicks-off-whirlwind-week-marking-his-100th-day-back-oval-office,"President Donald Trump's 14th week in office will also mark his 100th day back in the Oval Office, which he will celebrate in Michigan during a rally."
Texas wildlife refuge renamed in honor of Jocelyn Nungaray,https://www.foxnews.com/video/6371901280112,"Interior Secretary Doug Burgum speaks at a ceremony renaming a Texas wildlife refuge for Jocelyn Nungaray, a 12-year-old Houston girl who was killed in June 2024 by two alleged illegal immigrants affiliated with Tren de Aragua."
"Rachel Morin's mom slams media silence: 'I couldn't save my daughter, but I can speak out'",https://www.foxnews.com/video/6371804501112,"Rachel Morin’s mother, Patty, discussed her White House appearance and what's next in her journey with Fox News Digital."
"Meloni meets Trump, vows to help make the West ‘great again’",https://www.foxnews.com/video/6371643897112,"Carlo Fidanza, member of the European Parliament, joins ‘Fox & Friends’ to break down President Donald Trump’s meeting with Italian Prime Minister Giorgia Meloni and what it signals for the future of U.S.-Europe relations."
Mailman's mom warns son's killer will strike again thanks to lenient plea deal,https://www.foxnews.com/video/6371575061112,"Manhattan DA Alvin Bragg's office offered a sentence of 15 years to Jaia Cruz in exchange for pleading guilty to fatally stabbing US Mailman Ray Hodge in a Harlem sandwich shop, despite fierce opposition from his family."
Jury selection resumes in retrial of Karen Read,https://www.foxnews.com/video/6371518267112,Fox News correspondent Molly Line and Fox News legal editor Kerri Urbahn provide the latest updates in the retrial for Karen Read on 'America's Newsroom.'
Secretary Lutnick has a message for tariff nay-sayers,https://www.foxnews.com/video/6371423847112,Commerce Secretary Howard Lutnick says the United States is the buyer in the world's economy and is in control amid tariff negotiations on 'My View with Lara Trump.'
Kevin O’Leary: China cannot do without America,https://www.foxnews.com/video/6371325293112,Shark Tank investor Kevin O’Leary joins ‘The Story’ to discuss President Donald Trump’s tariffs on China.
"Three Americans transferred from Congo to US, one arrested in Utah, charged with coup to overthrow government",https://www.foxnews.com/us/americans-transferred-from-congo-us-one-arrested-utah-charged-coup-overthrow-government,"Three Americans sentenced to life in prison in Congo were transferred to the U.S., and another was arrested in Utah in connection with an armed coup to overthrow DRC government."
White House on tariff deals: 'All options are on the table for each country',https://www.foxnews.com/video/6371231184112,"White House Press Secretary Karoline Leavitt says President Donald Trump is “very much focused on ensuring that these deals are good for the American worker."""
UK prime minister to admit ‘globalization is over’ in response to Trump tariffs: report,https://www.foxnews.com/politics/uk-prime-minister-admit-globalisation-over-response-trump-tariffs-report,UK Prime Minister Keir Starmer is expected to give an address Sunday in which he will admit the rationale behind President Donald Trump's tariffs and ending globalism.
"FLASHBACK: 30 years ago, Nancy Pelosi demanded Congress confront Chinese tariffs on American goods",https://www.foxnews.com/media/flashback-30-years-ago-nancy-pelosi-demanded-congress-confront-chinese-tariffs-american-goods,"Old videos show Rep. Nancy Pelosi, D-Calif., and Sen. Bernie Sanders, I-Vt., defending the use of U.S. tariffs to protect U.S. workers, while today they oppose Trump's tariffs."
Jesse Watters: Fair trade is part of the ‘bigger’ Trump package,https://www.foxnews.com/video/6370952191112,Fox News host Jesse Watters traces the roots of the global trade imbalance and praises President Donald Trump’s ‘Liberation Day’ tariffs on ‘Jesse Watters Primetime.’
Police question Kimberly Sullivan at scene of fire,https://www.foxnews.com/video/6370888930112,"Kimberly Sullivan tells police her stepson, whom she allegedly locked in a storage closet for 20 years, was free to leave the room as he pleased. (Courtesy: Waterbury Police Department)"
"Chicago's political elite is 'in love with criminality,' says Raymond Lopez",https://www.foxnews.com/video/6370800795112,Chicago Alderman Raymond Lopez discusses Chicago becoming the U.S. murder capital for the 13th year in a row on 'Fox Report.'
Pam Bondi: This top MS-13 leader was living among us,https://www.foxnews.com/video/6370659340112,Attorney General Pam Bondi discusses the takedown of an alleged MS-13 leader on 'The Ingraham Angle.'
Trump argues he has authority to deport migrant criminals,https://www.foxnews.com/video/6370346351112,Fox News senior White House correspondent Peter Doocy has the latest on the deportation flights of alleged gang members on 'Special Report.'
Forbes chairman lays out tax plan for 'gold on the horizon',https://www.foxnews.com/video/6370128940112,Forbes chairman Steve Forbes weighs in on U.S. markets and global tariff tensions on 'Sunday Night in America.'
Brit Hume discusses inflation and the state of the economy as tariffs increase,https://www.foxnews.com/video/6369944697112,Fox News chief political analyst Brit Hume breaks down the annual inflation rate and the effects of retaliatory tariffs on 'Special Report.'
"Trump tariffs will 'bring back' businesses to the US, Maryland congressman argues",https://www.foxnews.com/video/6369820315112,"Rep. Andy Harris, R-Md., highlights House Democrats' outlook on a stopgap bill and praises President Donald Trump's tariffs on 'Fox Report.'"
James Carville explains why latest Trump move has him wanting to ‘punch the computer in frustration’,https://www.foxnews.com/media/james-carville-fights-urge-start-punching-my-computer-over-gops-support-tariffs,Longtime Democratic Party strategist James Carville scorched President Trump and Republicans for changing their tune on the economic consequences of the policies they ran on.
"Bondi demands all Epstein documents be released, accuses FBI of withholding files",https://www.foxnews.com/video/6369420250112,Fox News host Jesse Watters has the latest on the unexpected developments during 'phase 1' of the release of the Jeffrey Epstein files on 'Jesse Watters Primetime.'
Officials identify suspect in stabbing death of SoCal Fire captain,https://www.foxnews.com/video/6369121348112,The San Diego Sheriff's Office said they are searching for the wife of Cal Fire captain Rebecca Marodi as a suspect in her brutal murder. (Credit: KSWB)
University of Houston sexual assault suspect charged ahead of student protest,https://www.foxnews.com/video/6368758389112,"A man accused of sexually assaulting a student on the University of Houston campus Friday has been arrested and charged, according to FOX 26 Houston."
"Trump's tariffs on Mexico, Canada are the 'beginning of a negotiation,' says Kevin O'Leary",https://www.foxnews.com/video/6368197493112,O'Leary Ventures Chairman Kevin O'Leary joins 'Fox & Friends' to discuss his conversation with President Donald Trump regarding the tariffs on Canada and Mexico and Elon Musk's claim the U.S. Treasury approved fraudulent payments.
Economic expert reveals a 25% tariff on Canada and Mexico is ‘unlikely’,https://www.foxnews.com/video/6366480890112,Trump economic adviser Stephen Moore joins ‘Fox & Friends’ to provide professional analysis of the president-elect’s ongoing tariff threats.
"Trump utilizes America's 'strongest hand' with China on tariffs, Brian Brenberg says",https://www.foxnews.com/video/6365320978112,FOX Business' Brian Brenberg joined 'Fox & Friends First' to discuss the bigger picture with Trump's tariff threat and his take on possible record-breaking Black Friday sales.
Tren de Aragua gang members arrested in police raid at Texas apartment complex,https://www.foxnews.com/us/tren-de-aragua-gang-members-arrested-police-raid-texas-apartment-complex,San Antonio Police Chief William McManus confirmed four Tren de Aragua members were arrested during a raid on a vacant apartment complex.
English town of Southport clashes with police after three girls killed in stabbing,https://www.foxnews.com/video/6359642857112,Citizens of the town of Southport in Northwest England rioted against the police Tuesday after at least three girls were killed in a mass stabbing by a 17-year-old male the day prior. (Credit: Sky News via AP)
IMF deploys remaining $1.1B in Pakistan bailout funds,https://www.foxnews.com/world/imf-deploys-remaining-1-1b-pakistan-bailout-funds,The International Monetary Fund approved Monday the immediate release of the remaining $1.1 billion worth of bailout cash for Pakistan.
"UAE, other countries removed from international money laundering watchlist",https://www.foxnews.com/world/uae-other-countries-removed-international-money-laundering-watchlist,"The Financial Action Task Force, an international watchdog group aimed at combating money laundering and terrorism funding, has removed several countries from its ""gray list."""
